StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q18,Q19,SC0,DeviceIdentifier,workerId,assignmentId,hitId
7/24/20 21:01,7/24/20 21:07,0,71.255.102.102,100,353,1,7/24/20 21:07,R_RlSCZSnT9MSrzaN,,,,,39.93609619,-75.26249695,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1600x900,39,1,2,1,3,5,2,2,2,1,2,2,62,,A3OHYXTHW11HS7,3ZPBJO59KP1I1L7JGYFGV8H6UF2DHU,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:03,7/24/20 21:07,0,75.163.56.36,100,223,1,7/24/20 21:07,R_2zjfl1KRRkpQaFH,,,,,35.98249817,-78.53759766,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1920x1080,34,2,5,2,2,5,2,2,2,1,4,3,64,,A11HCHEXMVLD1E,30OG32W0SUBF3N7UFRLD6AWNG3DNE7,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:01,7/24/20 21:07,0,172.6.27.157,100,355,1,7/24/20 21:07,R_20StcscIlwxZxxj,,,,,32.8618927,-90.40149689,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,1,2,3,2,2,4,2,2,2,1,4,3,28,,AW2ECJJ1ROKOC,3NAPMVF0ZWFY5M3R609N8C18JLI72E,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:07,7/24/20 21:09,0,72.180.94.245,100,84,1,7/24/20 21:09,R_3J4MIWywoAtYDFb,,,,,33.03259277,-96.7858963,anonymous,EN,0.9,Edge,18.19041,Windows NT 10.0,1920x1080,45,2,4,7,2,5,2,2,2,1,4,3,79,,A2NC7QEIUJKCWD,3Z9WI9EOZZOQFRDT8F13ZLCWEO0HKC,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:03,7/24/20 21:09,0,192.161.252.162,100,348,1,7/24/20 21:09,R_2WORa8uswIj9dQb,,,,,27.42489624,-97.8411026,anonymous,EN,0.9,Firefox,78,Windows NT 10.0,1366x768,45,1,3,2,1,6,2,2,2,1,4,3,72,,A2N40WV4GT6BRY,3Z2R0DQ0JHEJE1I1T8NTEMTP58M2EV,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:06,7/24/20 21:09,0,47.24.145.38,100,198,1,7/24/20 21:09,R_1jwYJyExrTtqcOU,,,,,38.66200256,-90.28890228,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1280x800,26,2,5,2,2,2,1,1,1,1,4,2,49,,A1XBESAVY145F4,3NGI5ARFTT5GM7PVJI3Q3FIOR9AP1M,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
7/24/20 21:14,7/24/20 21:16,0,73.68.49.29,100,119,1,7/24/20 21:16,R_21vnIa39mHxqeNV,,,,,41.38850403,-73.07910156,anonymous,EN,0.9,Chrome,83.0.4103.116,Macintosh,1920x1080,7,1,2,3,3,3,1,2,2,1,1,2,28,,AI8UTU1Q3KDXH,35GMH2SV3EHXL876G6LQLZWS6DJEOE,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:11,7/24/20 21:18,0,65.249.174.223,100,438,1,7/24/20 21:18,R_XYxeoMsgls3wY6t,,,,,34.0296936,-84.14689636,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 6.3,1920x1080,33,2,2,3,1,5,1,1,1,1,2,1,53,,ACBZKZ1EUIO13,3JBT3HLQF82DH3A3RTCIV9204ONZPL,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:08,7/24/20 21:33,0,24.21.8.31,100,1488,1,7/24/20 21:33,R_33vUPXChHNGBxea,,,,,45.48049927,-122.6362991,anonymous,EN,0.9,Chrome,84.0.4147.89,Macintosh,1680x1050,38,1,2,3,4,4,2,2,2,1,3,3,65,,A7GVNWSCFN20T,3T3IWE1XG6N2V32JLE2P9QRTOONTQQ,3K2CEDRACB18O46X2IQ64XB18NGTM5
7/24/20 21:33,7/24/20 21:36,0,98.195.11.203,100,214,1,7/24/20 21:36,R_20M7Lzkqt3cH8Lz,,,,,29.89729309,-95.64630127,anonymous,EN,0.9,Chrome,84.0.4147.89,Windows NT 10.0,1366x768,45,1,3,4,3,6,1,1,1,1,4,3,73,,A2GVUM5VNZWBN3,3ZY8KE4ISJ3H8V68Q924A8FEL96QV6,38EHZ67RIMS4JZKRIIRZ5EWCIT8MGP
7/24/20 21:43,7/24/20 21:48,0,74.193.187.42,100,278,1,7/24/20 21:48,R_3QYOF3rqYse1Y5s,,,,,31.11140442,-93.26909637,anonymous,EN,0.9,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,19,2,3,2,1,6,2,2,2,1,2,1,43,,AQJH9M1GRGPGG,39U1BHVTDLRAO2WHN3QTWIYIEWD3T1,3ZCC2DXSD744Z7U5VR1G69QNWZCYYP
