StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q17,Q18,Q19,SC0,DeviceIdentifier,workerId,assignmentId,hitId,FL_24_DO
2020-07-14 18:00:40,2020-07-14 18:02:17,0,45.237.85.144,100,96,1,2020-07-14 18:02:17,R_ZfPeJrh5isvaNY5,,,,,44.4828948974609375,-73.22530364990234375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 6.1,1366x768,9,2,5,2,2,5,2,2,2,,1,2,2,36,,A3KM7KZIA1585I,39LNWE0K4UW4EITP8BNQ5KM9EZ2IU4,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 17:56:37,2020-07-14 18:02:43,0,162.198.138.219,100,366,1,2020-07-14 18:02:43,R_2ceFJt9tPWisNxZ,,,,,41.38470458984375,-81.7982025146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,36,1,4,1,3,7,2,2,2,1,,3,3,65,,ANBWJZYU2A68T,3P59JYT76LKL3K0YJ3COD8TQ6PYT2D,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 18:02:18,2020-07-14 18:04:17,0,76.170.250.127,100,118,1,2020-07-14 18:04:17,R_4VEXwUtLjZ9lmeJ,,,,,33.8419036865234375,-117.60430145263671875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1536x864,5,1,3,4,3,3,2,2,2,1,,4,3,33,,A1VY3E2I61OK7K,304SM51WA34ECXNFDW094W08YCXBS8,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 18:04:05,2020-07-14 18:04:55,0,68.102.28.72,100,50,1,2020-07-14 18:04:56,R_1OVPvlx4UdTPiSU,,,,,37.7006988525390625,-97.43830108642578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.97,Windows NT 10.0,1366x768,17,1,2,3,1,5,2,2,2,1,,1,3,40,,A2U7UTQYOPM68T,3R9WASFE2ZG1QQL9DQGDJFOW0PPFZZ,3Z56AA6EK402M6VL65IDTNJNO686MS,DataVisualization(Treatment)
2020-07-14 18:05:43,2020-07-14 18:06:42,0,108.176.220.99,100,58,1,2020-07-14 18:06:42,R_1LqEYFBEiVKvMyc,,,,,43.216796875,-75.45349884033203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,7,1,2,3,2,5,1,2,2,,1,3,1,30,,A3HHZ0G3H9G0LM,3N4BPTXIO8SVKDJD8E82I01M63RKUH,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Control)
2020-07-14 18:07:26,2020-07-14 18:10:08,0,75.67.61.144,100,161,1,2020-07-14 18:10:08,R_2cde0efGSOCftVf,,,,,41.7465057373046875,-70.591400146484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Firefox,78.0,Windows NT 10.0,1920x1080,22,1,2,3,3,2,2,2,2,1,,4,3,47,,A1EBGIM9CZTQLX,3X66WABAJWI6JXAB33RMXZJTM9QG32,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Treatment)
2020-07-14 18:09:43,2020-07-14 18:10:42,0,76.110.86.107,100,58,1,2020-07-14 18:10:42,R_2tsPNeNvZ6zB9EW,,,,,26.8238067626953125,-80.1407012939453125,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Chrome,83.0.4103.61,Windows NT 10.0,1366x768,4,2,3,3,1,5,1,1,1,,1,2,1,25,,A1LDL66YZIPN72,3QRYMNZ7FYHHS6PR5MA85WWOHKPNTY,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 18:13:06,2020-07-14 18:15:36,0,47.224.50.72,100,149,1,2020-07-14 18:15:36,R_21misIJDmp0jSYQ,,,,,45.608001708984375,-84.48670196533203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1920x1080,23,1,4,3,2,5,2,2,2,,1,4,3,52,,A25R2OI9L2Q1OW,3EQHHY4HQSS9XCXFHMFFCWHD05HG5S,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 18:22:30,2020-07-14 18:25:09,0,181.215.88.72,100,158,1,2020-07-14 18:25:10,R_oXKx0sHTSguetDr,,,,,41.848297119140625,-87.651702880859375,anonymous,EN,0.299999999999999988897769753748434595763683319091796875,Chrome,83.0.4103.116,Windows NT 10.0,1024x768,45,1,3,2,1,5,1,2,2,1,,1,1,65,,A16XAZI66RWP4G,369J354OFDA5GGXTM5PK42VDW0SG68,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Treatment)
2020-07-14 18:27:33,2020-07-14 18:29:26,0,75.131.106.237,100,113,1,2020-07-14 18:29:27,R_uwBCuVCYUmNv1NT,,,,,43.4282073974609375,-83.97640228271484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,2560x1080,23,1,3,3,4,2,2,2,2,1,,2,2,47,,AH00EJ6PK1H3A,3STRJBFXOWRGK04O89ISD4FKNPKKTQ,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 18:29:02,2020-07-14 18:30:02,0,67.7.91.35,100,59,1,2020-07-14 18:30:03,R_3L4QrBRlxlRPM9D,,,,,26.6909027099609375,-81.94830322265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.106,Windows NT 10.0,1366x768,10,2,6,2,1,6,1,1,2,,1,2,1,35,,A2A7XNKQS3IJ2B,333U7HK6I9FESR294YI17LXL5EWDJ1,3Z56AA6EK402M6VL65IDTNJNO686MS,DataVisualization(Control)
2020-07-14 18:49:11,2020-07-14 18:51:59,0,98.4.250.180,100,168,1,2020-07-14 18:52:00,R_1mQb40qExBXOY0Q,,,,,42.8860931396484375,-78.745697021484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 6.3,1364x768,7,2,2,3,2,5,2,2,2,,1,2,1,31,,A2V02U0BV6ZY9T,3H8DHMCCW9B93B8RMJID80XYK3WDK0,3AXFSPQOYQY84RIB418P714JDBGJF4,DataVisualization(Control)
2020-07-14 19:25:52,2020-07-14 19:26:50,0,65.188.179.223,100,58,1,2020-07-14 19:26:51,R_1i9XZax8mjSkAOv,,,,,36.1053009033203125,-79.87619781494140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,81.0.4044.113,Macintosh,1280x800,34,2,2,3,2,5,2,2,2,1,,3,2,60,,AGWWUXDX6CI38,3PW9OPU9PQKKU0OPHKSE72AVE6K21Q,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Treatment)
2020-07-14 19:29:25,2020-07-14 19:30:42,0,96.245.115.148,100,77,1,2020-07-14 19:30:42,R_1o5aClfyIztRZ5Q,,,,,40.3800048828125,-75.27179718017578125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,84.0.4147.89,Macintosh,2048x1152,39,1,6,3,2,5,2,2,2,,1,4,3,70,,ACTBJYB46CJO3,3K5TEWLKGVB4RXIPD1XV16OSS6KIV2,3R868ACW4SC4I6JAX7HTDGSLXOTGZL,DataVisualization(Control)
2020-07-14 19:32:03,2020-07-14 19:33:52,0,96.32.203.67,100,109,1,2020-07-14 19:33:53,R_POGTLnGPPFsboqZ,,,,,33.477203369140625,-84.05539703369140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1920x1080,11,1,2,3,2,3,2,2,2,1,,4,3,36,,A3OC7DWUX0M17C,39RP059MEHTBE2AATZ4NSN126NOBM5,3BAKUKE49HCYC07G572DKQMGMIRR13,DataVisualization(Treatment)
2020-07-14 19:38:35,2020-07-14 19:39:33,0,24.7.72.40,100,58,1,2020-07-14 19:39:33,R_2frkf6Z4AMarvEG,,,,,37.967498779296875,-122.2899017333984375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,86.0.4195.0,Windows NT 10.0,1366x768,5,1,4,2,1,5,1,1,1,1,,1,1,24,,A3CSWW231SAGFW,3YW4XOSQKQLTECXR042KDL5NXX4U11,3Z56AA6EK402M6VL65IDTNJNO686MS,DataVisualization(Treatment)
2020-07-16 16:49:58,2020-07-16 16:50:10,0,24.124.89.114,100,12,1,2020-07-16 16:50:10,R_vqW5Ntg65xBqEdb,,,,,43.52349853515625,-96.73850250244140625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.106,Android 9,361x722,,,,,,,,,,,,,,,,A2KS4K0MBUG3E2,3PH3VY7DJLX31C743FQDN3AWW5RZWK,33K3E8REWWV0KWDDDRHKOIVC17WX87,
2020-07-16 16:50:59,2020-07-16 16:51:06,0,172.58.87.119,100,7,1,2020-07-16 16:51:06,R_7VcCKRyIgqnhs1r,,,,,45.0644989013671875,-93.34130096435546875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,84.0.4147.89,Android 10,393x830,,,,,,,,,,,,,,,,AG1ZOF7L8SOHW,34T446B1C0EXLTV9IUDK5A07MIR0CL,3GONHBMNHVY4AGFW8AFOQLCITCJZMU,
2020-07-16 16:49:56,2020-07-16 16:51:42,0,75.40.24.179,100,106,1,2020-07-16 16:51:42,R_1GQvfRGY2GNangc,,,,,32.478302001953125,-84.89849853515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1366x768,11,1,6,3,1,6,2,2,2,,1,1,1,37,,A1JM5XNB4NCZR6,3R8YZBNQ9HIFX55C8BZO4UZBYBY7QX,3NZ1E5QA6Z1AKBRAAXIZN1UTGE85B5,DataVisualization(Control)
2020-07-16 16:50:37,2020-07-16 16:51:45,0,68.68.90.134,100,68,1,2020-07-16 16:51:46,R_3HGho26TscrtESu,,,,,38.3600006103515625,-86.92859649658203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1536x864,15,2,2,3,2,5,1,1,2,1,,4,3,41,,A1HMUS6WQOT9MN,3FDJT1UU748EZYTY7D0UAO968ZB5KO,33K3E8REWWV0KWDDDRHKOIVC17WX87,DataVisualization(Treatment)
2020-07-16 16:50:11,2020-07-16 16:51:48,0,162.83.167.134,100,96,1,2020-07-16 16:51:48,R_2PwbHERk7pB0ppU,,,,,40.7259979248046875,-73.84799957275390625,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Chrome,83.0.4103.116,Windows NT 6.3,1920x1080,33,1,5,3,2,5,1,1,1,1,,4,3,60,,A2VIB4A4DEQ273,30IQTZXKAK6LOR649Q97JNLHN0EX0J,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Treatment)
2020-07-16 16:50:05,2020-07-16 16:51:59,0,68.12.28.217,100,113,1,2020-07-16 16:52:00,R_1cTCMFiXlGveHx1,,,,,35.4884033203125,-97.5706024169921875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1536x864,37,2,2,3,2,5,2,2,2,,1,3,3,64,,A25Y6WQ2TUNYJT,3Q8GYXHFEP2WG0HAF0JWM5WY3Q25CB,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Control)
2020-07-16 16:50:48,2020-07-16 16:52:02,0,67.8.21.246,100,73,1,2020-07-16 16:52:02,R_3qg7RfHJfQN9DPJ,,,,,28.52740478515625,-81.6011962890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Macintosh,1440x900,31,1,2,3,3,5,2,2,2,1,,2,1,55,,A38U3F4NU3Y4AJ,33C7UALJVLYVGFQEX11FHTNY1JC81Q,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Treatment)
2020-07-16 16:50:14,2020-07-16 16:52:06,0,72.208.185.23,100,112,1,2020-07-16 16:52:06,R_2OGD1fa5JfBtGxM,,,,,33.606903076171875,-112.28220367431640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Firefox,78.0,Windows NT 10.0,1366x768,3,1,5,3,1,5,2,2,2,,2,1,1,28,,A2YR29YNFLZSUG,3Z4AIRP3C6DLVGRM59D7XS4RSSKX1M,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Control)
2020-07-16 16:50:34,2020-07-16 16:52:07,0,99.26.121.28,100,92,1,2020-07-16 16:52:07,R_3OyDcYAbfonZZ73,,,,,32.9163970947265625,-117.1392974853515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Edge,83.0.478.64,Windows NT 10.0,1600x900,5,1,3,3,3,4,1,2,2,,1,2,2,29,,A3IA1BJ5Y6ORWO,3LOZAJ85YDDSK19IODDL2BEWKYZ2X9,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Control)
2020-07-16 16:50:28,2020-07-16 16:52:20,0,173.249.65.167,100,111,1,2020-07-16 16:52:21,R_1Fu21JArC479Veu,,,,,39.6737060546875,-89.71610260009765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1920x1080,14,1,2,3,2,6,2,2,2,1,,4,3,42,,A1WEAJOA6J2M61,3XUHV3NRVKYNX8SQ1SXXXWTEGI75HK,33K3E8REWWV0KWDDDRHKOIVC17WX87,DataVisualization(Treatment)
2020-07-16 16:51:58,2020-07-16 16:52:36,0,47.147.203.235,100,38,1,2020-07-16 16:52:36,R_1rp1fBo7q6gQ0n5,,,,,33.7626953125,-118.137603759765625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Macintosh,1440x900,5,1,2,3,2,5,2,2,2,,1,3,2,30,,A1KFHUDQAOGWKG,3JMSRU9HQIUSBSG3HI74GRQ01QGVE0,33K3E8REWWV0KWDDDRHKOIVC17WX87,DataVisualization(Control)
2020-07-16 16:50:24,2020-07-16 16:52:49,0,73.125.135.48,100,144,1,2020-07-16 16:52:49,R_1P1324ok7I7neyK,,,,,25.606201171875,-80.3451995849609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1536x864,10,1,2,"3,4",1,3,2,2,2,,2,3,3,38,,A1M1E62KXCDNL0,3R08VXYT7CVKH21YKKYUWJHXMCF7W1,3GONHBMNHVY4AGFW8AFOQLCITCJZMU,DataVisualization(Control)
2020-07-16 16:51:22,2020-07-16 16:53:03,0,24.168.202.105,100,100,1,2020-07-16 16:53:03,R_1duFcCjzbKMC3Ru,,,,,34.073699951171875,-81.18630218505859375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Edge,83.0.478.64,Windows NT 10.0,1536x864,42,1,3,3,2,5,1,2,2,1,,4,3,69,,A2H92K2776A1IC,3PJUZCGDJ6GD5KT91EG8WZ5HZV089Z,33K3E8REWWV0KWDDDRHKOIVC17WX87,DataVisualization(Treatment)
2020-07-16 16:50:38,2020-07-16 16:53:03,0,24.112.240.101,100,145,1,2020-07-16 16:53:03,R_26mR0T9VYF0tINw,,,,,40.6217041015625,-79.9430999755859375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Firefox,78.0,Windows NT 10.0,1600x900,39,2,2,3,3,3,2,2,2,,1,2,2,63,,AI0K2LZWV73MB,3PH3VY7DJLX31C743FQDN3AWW5RWZH,3INZSNUD80QM0VR6RJMMU7NV5V39D7,DataVisualization(Control)
2020-07-16 16:50:49,2020-07-16 16:53:04,0,97.116.160.111,100,135,1,2020-07-16 16:53:04,R_6h8zEurO09SDwJ3,,,,,44.9824981689453125,-93.18630218505859375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Chrome,83.0.4103.116,Windows NT 10.0,1536x864,24,1,3,3,2,6,2,2,2,1,,4,3,53,,A3DF29F5KSLX3U,3Q5ZZ9ZEVOFU4XRXYO3RKJ0FDZH858,33K3E8REWWV0KWDDDRHKOIVC17WX87,DataVisualization(Treatment)
2020-07-16 16:51:29,2020-07-16 16:53:07,0,192.200.158.189,100,97,1,2020-07-16 16:53:07,R_1Ea5PoWjCX3Xe8v,,,,,33.4412994384765625,-112.0420989990234375,anonymous,EN,0.299999999999999988897769753748434595763683319091796875,Chrome,81.0.4044.138,Linux x86_64,450x950,21,1,3,3,2,6,1,1,1,1,,4,3,47,,A2F12MSDNGTAU0,3DH6GAKTYYP7QH24IG8180VC7DRZYJ,3GONHBMNHVY4AGFW8AFOQLCITCJZMU,DataVisualization(Treatment)
